Date,Open,High,Low,Close,Volume
4/14/2016,50.6,51.368,50.21,50.372,18264095
4/15/2016,50.262,50.92,49.824,50.902,17151065
4/18/2016,50.446,51.662,50.332,50.776,20273510
4/19/2016,50.624,50.874,48.25,49.474,27016795
4/20/2016,49.252,50.732,48.3,49.994,23676755
4/21/2016,49.798,50.18,49.382,49.658,13225090
4/22/2016,49.778,50.8,49.142,50.75,16689865
4/25/2016,50.602,51.476,50.152,50.364,15354285
4/26/2016,50.41,51.146,49.878,50.748,13880785
4/27/2016,50.55,51,49.88,50.294,14889305
4/28/2016,49.97,50.686,49.488,49.542,10641325
4/29/2016,49.628,49.686,47.562,48.152,22602455
5/2/2016,48.3,48.638,46.964,48.36,16261750
5/3/2016,47.472,47.782,46.324,46.464,20003845
5/4/2016,46.058,46.892,44.08,44.512,35805335
5/5/2016,45.692,45.728,41.958,42.306,54760245
5/6/2016,42.174,43.274,41.622,42.986,25017485
5/9/2016,43.144,43.23,41.36,41.784,22600310
5/10/2016,41.51,41.894,41,41.738,17458165
5/11/2016,41.518,43.096,41.21,41.792,25211930
5/12/2016,42.288,42.334,40.731,41.44,15333730
5/13/2016,41.556,42.24,41.34,41.522,12009855
5/16/2016,41.63,42.63,41.584,41.658,12372230
5/17/2016,41.81,41.964,40.804,40.932,11515010
5/18/2016,41.83,43.062,41.55,42.234,22274240
5/19/2016,42.724,43.358,41.46,43.042,32912095
5/20/2016,43.398,44.11,43.27,44.056,43176080
5/23/2016,43.974,44.52,43.172,43.244,21677435
5/24/2016,43.32,43.748,43.036,43.582,14643295
5/25/2016,43.582,44.272,43.302,43.916,12570140
5/26/2016,44.1,45.052,43.81,45.024,17804985
5/27/2016,44.998,45.186,44.15,44.608,15408670
5/31/2016,44.608,44.95,44.3,44.646,10234140
6/1/2016,44.296,44.48,43.378,43.912,12749670
6/2/2016,43.918,43.982,43.422,43.792,8353745
6/3/2016,44,44.388,43.602,43.798,9489770
6/6/2016,43.6,44.18,43.09,44.136,9507900
6/7/2016,44.448,46.888,44.304,46.468,27654760
6/8/2016,46.76,48.169,46.521,47.104,25463065
